name	SRX_index	outlier	mean_ER_index	delta	gene
ENST00000530562.5	0.0386944599479839	True	0.17619990515733686	0.13750544520935296	XRRA1
ENST00000340360.10	0.0225131403333724	True	0.1577871719257569	0.1352740315923845	XRRA1
ENST00000705661.1	0.0225131403333724	True	0.1577871719257569	0.1352740315923845	XRRA1
ENST00000684022.1	0.0257963066319892	True	0.1577871719257569	0.1319908652937677	XRRA1
ENST00000321448.12	0.0242788768301075	True	0.14295970129924507	0.11868082446913757	XRRA1
ENST00000531849.5	0.022930050339546	True	0.13528298948376227	0.11235293914421628	XRRA1
ENST00000527087.5	0.0353777919524424	True	0.14871469432564088	0.11333690237319849	XRRA1
ENST00000541911.1	0.0	True	0.14714265409001348	0.14714265409001348	DPY19L2
ENST00000439061.6	0.0	True	0.1455004339908433	0.1455004339908433	DPY19L2
ENST00000529080.5	0.0	False	0.17108100617361616	0.17108100617361616	NEK5
ENST00000684899.1	0.0	False	0.17108100617361616	0.17108100617361616	NEK5
ENST00000647945.2	0.0	False	0.17108100617361616	0.17108100617361616	NEK5
ENST00000652502.1	0.0	False	0.17108100617361616	0.17108100617361616	NEK5
ENST00000465811.7	0.0	False	0.1496958804019141	0.1496958804019141	NEK5
ENST00000560421.5	0.0	False	0.2993917608038283	0.2993917608038283	DMXL2
ENST00000394412.8	0.0	True	0.29635737876040413	0.29635737876040413	KIF7
ENST00000696512.1	0.0	True	0.29635737876040413	0.29635737876040413	KIF7
ENST00000677187.1	0.0	True	0.29160512858891485	0.29160512858891485	KIF7
ENST00000558879.5	0.0	True	0.1491038084145339	0.1491038084145339	LRRC28
ENST00000447360.6	0.0	True	0.17113673604289936	0.17113673604289936	LRRC28
ENST00000331450.9	0.0	True	0.17113673604289936	0.17113673604289936	LRRC28
ENST00000561431.1	0.0	True	0.17113673604289936	0.17113673604289936	LRRC28
ENST00000217246.8	0.0	False	0.2993917608038283	0.2993917608038283	MACROD2
ENST00000684519.1	0.0	False	0.2993917608038283	0.2993917608038283	MACROD2
ENST00000642719.1	0.0	False	0.2993917608038283	0.2993917608038283	MACROD2
