name	count_reads_SRX	count_reads_ER14	count_reads_ER23	count_reads_ER16	count_reads_ER18	count_reads_ER17	count_reads_ER21	count_reads_ER13	count_reads_ER22	count_reads_ER15	count_reads_ER19	count_reads_ER12	count_reads_ER20	gene
ENST00000371212.5	0	0	0	0	0	0	0	0	0	0	0	0	0	FGGY
ENST00000371210.1	0	0	0	0	0	0	0	0	0	0	0	0	0	FGGY
ENST00000371059.7	0	0	0	0	0	0	0	0	0	0	0	1	0	LEPR
ENST00000371060.7	0	0	0	0	0	0	0	0	0	0	0	1	0	LEPR
ENST00000349533.11	0	0	0	0	0	0	0	0	0	0	0	1	0	LEPR
ENST00000344610.12	0	0	0	0	0	0	0	0	0	0	0	1	0	LEPR
ENST00000616738.4	0	0	0	0	0	0	0	0	0	0	0	1	0	LEPR
ENST00000651989.2	0	0	0	0	0	0	0	0	0	0	0	0	0	LRRC7
ENST00000310961.9	0	0	0	0	0	0	0	0	0	0	0	0	0	LRRC7
ENST00000370895.5	0	0	0	0	0	0	0	0	0	0	0	0	0	FPGT-TNNI3K
ENST00000263187.4	1	0	0	0	0	0	0	0	0	0	0	0	0	MSH4
ENST00000426972.8	0	0	0	0	0	0	0	0	0	0	0	0	0	DDAH1
ENST00000316005.11	7	0	0	0	0	0	0	0	0	0	0	0	0	PKN2
ENST00000370521.8	7	0	0	0	0	0	0	0	0	0	0	0	0	PKN2
ENST00000370513.9	7	0	0	0	0	0	0	0	0	0	0	0	0	PKN2
ENST00000370453.5	5	0	0	0	0	0	0	0	0	0	0	2	1	ENSG00000271949
ENST00000370440.5	17	0	0	0	0	0	0	0	0	0	2	0	0	ZNF644
ENST00000347275.9	17	0	0	0	0	0	0	0	0	0	2	0	0	ZNF644
ENST00000337393.10	17	0	0	0	0	0	0	0	0	0	2	0	0	ZNF644
ENST00000361321.5	17	0	0	0	0	0	0	0	0	0	2	0	0	ZNF644
ENST00000370425.8	0	0	0	0	0	0	1	0	0	0	0	1	0	HFM1
ENST00000706885.1	0	0	0	0	0	0	0	1	0	0	0	0	0	EVI5
ENST00000684568.2	0	0	0	0	0	0	0	1	0	0	0	0	0	EVI5
ENST00000370331.5	0	0	0	0	0	0	0	1	0	0	0	0	0	EVI5
ENST00000706867.1	0	0	0	0	0	0	0	1	0	0	0	0	0	EVI5
ENST00000706868.1	0	0	0	0	0	0	0	1	0	0	0	0	0	EVI5
ENST00000706843.1	0	0	0	0	0	0	0	1	0	0	0	0	0	EVI5
ENST00000540033.3	0	0	0	0	0	0	0	1	0	0	0	0	0	EVI5
ENST00000615519.4	2	0	0	0	0	0	0	0	0	0	0	0	0	DIPK1A
ENST00000613902.4	2	0	0	0	0	0	0	0	0	0	0	0	0	DIPK1A
ENST00000616709.4	2	0	0	0	0	0	0	0	0	0	0	0	0	DIPK1A
ENST00000370310.5	2	0	0	0	0	0	0	0	0	0	0	0	0	DIPK1A
ENST00000370214.9	2	0	1	0	0	0	0	0	3	0	0	3	0	ABCD3
ENST00000634870.1	0	0	1	0	0	0	0	0	0	0	0	2	0	SLC44A3-AS1
ENST00000635184.1	0	0	1	0	0	0	0	0	0	0	0	2	0	SLC44A3-AS1
ENST00000418366.2	0	0	1	0	0	0	0	0	0	0	0	2	0	SLC44A3-AS1
ENST00000634861.1	0	0	1	0	0	0	0	0	0	0	0	2	0	SLC44A3-AS1
ENST00000370203.9	0	0	0	0	0	0	0	0	0	1	0	0	0	TLCD4
ENST00000604534.5	0	0	0	0	0	0	0	0	0	0	0	0	0	TLCD4-RWDD3
ENST00000370112.8	5	0	0	1	1	0	0	0	0	0	0	0	0	SLC30A7
ENST00000357650.9	5	0	0	1	1	0	0	0	0	0	0	0	0	SLC30A7
ENST00000370056.9	3	0	0	0	0	0	0	0	0	0	0	0	0	VAV3
ENST00000527011.5	3	0	0	0	0	0	0	0	0	0	0	0	0	VAV3
ENST00000307546.14	3	0	2	0	1	0	0	0	1	0	0	0	1	MAGI3
ENST00000369617.8	3	0	2	0	1	0	0	0	1	0	0	0	1	MAGI3
ENST00000369615.5	3	0	2	0	1	0	0	0	1	0	0	0	1	MAGI3
ENST00000369611.4	3	0	2	0	1	0	0	0	1	0	0	0	1	MAGI3
ENST00000440150.5	12	4	4	12	14	3	6	7	4	4	10	13	7	WARS2-AS1
ENST00000670000.1	12	4	4	12	14	3	6	7	4	4	10	13	7	WARS2-AS1
ENST00000367123.8	1	0	0	0	0	0	0	0	0	0	0	0	0	SRGAP2C
ENST00000304465.7	1	0	0	0	0	0	0	0	0	0	0	0	0	SRGAP2C
ENST00000612199.4	0	0	0	0	0	0	2	0	0	0	0	0	0	SRGAP2B
ENST00000641863.3	0	0	0	0	0	0	2	0	0	0	0	0	0	SRGAP2B
ENST00000619867.4	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00624
ENST00000368799.2	0	0	0	0	0	0	0	0	0	0	0	0	0	FLG
ENST00000534968.5	1	0	0	0	0	0	0	0	0	0	0	0	0	CD84
ENST00000368054.8	1	0	0	0	0	0	0	0	0	0	0	0	0	CD84
ENST00000311224.8	1	0	0	0	0	0	0	0	0	0	0	0	0	CD84
ENST00000368048.7	1	0	0	0	0	0	0	0	0	0	0	0	0	CD84
ENST00000368051.3	1	0	0	0	0	0	0	0	0	0	0	0	0	CD84
ENST00000361897.10	0	0	0	0	0	0	0	0	0	0	0	0	0	NOS1AP
ENST00000530878.5	0	0	0	0	0	0	0	0	0	0	0	0	0	NOS1AP
ENST00000367765.5	1	0	0	0	0	0	0	0	0	0	0	0	0	KIFAP3
ENST00000367767.5	1	0	0	0	0	0	0	0	0	0	0	0	0	KIFAP3
ENST00000490550.2	1	0	0	0	0	0	0	0	0	0	0	0	0	KIFAP3
ENST00000361580.7	1	0	0	0	0	0	0	0	0	0	0	0	0	KIFAP3
ENST00000538366.5	1	0	0	0	0	0	0	0	0	0	0	0	0	KIFAP3
ENST00000647382.2	19	1	0	0	0	0	2	0	0	0	0	0	1	PRRC2C
ENST00000367742.7	19	1	0	0	0	0	2	0	0	0	0	0	1	PRRC2C
ENST00000338920.8	19	1	0	0	0	0	2	0	0	0	0	0	1	PRRC2C
ENST00000426496.6	19	1	0	0	0	0	2	0	0	0	0	0	1	PRRC2C
ENST00000714429.1	0	0	0	0	1	0	0	0	0	0	1	0	0	TNFSF4
ENST00000714430.1	0	0	0	0	1	0	0	0	0	0	1	0	0	TNFSF4
ENST00000714470.1	0	0	0	0	1	0	0	0	0	0	1	0	0	TNFSF4
ENST00000714471.1	0	0	0	0	1	0	0	0	0	0	1	0	0	TNFSF4
ENST00000356198.6	0	0	0	0	0	0	0	0	0	2	0	0	0	CENPL
ENST00000682279.1	0	0	0	0	0	0	0	0	0	2	0	0	0	CENPL
ENST00000345664.10	0	0	0	0	0	0	0	0	0	2	0	0	0	CENPL
ENST00000367710.7	0	0	0	0	0	0	0	0	0	2	0	0	0	CENPL
ENST00000251507.8	9	0	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L
ENST00000681986.1	9	0	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L
ENST00000325589.9	9	0	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L
ENST00000367687.5	9	0	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L
ENST00000347255.6	9	0	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L
ENST00000489615.5	9	0	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L
ENST00000354921.7	0	0	0	0	0	0	0	0	0	0	0	0	0	CRYZL2P-SEC16B
ENST00000287713.7	0	0	0	0	0	0	0	0	0	0	0	0	0	NMNAT2
ENST00000304685.8	0	0	0	0	0	0	0	0	0	0	1	0	0	RGL1
ENST00000367511.4	2	0	0	0	0	0	0	0	0	0	0	0	0	NIBAN1
ENST00000367501.7	2	0	0	0	0	0	0	0	0	0	0	0	0	SWT1
ENST00000367500.9	2	0	0	0	0	0	0	0	0	0	0	0	0	SWT1
ENST00000271588.9	0	0	0	0	0	0	0	0	0	0	0	1	0	HMCN1
ENST00000620048.6	0	0	0	0	0	0	0	0	0	0	0	0	0	DENND1B
ENST00000235453.8	0	0	0	0	0	0	0	0	0	0	0	0	0	DENND1B
ENST00000367396.7	0	0	0	0	0	0	0	0	0	0	0	0	0	DENND1B
ENST00000573034.8	2	0	0	0	0	0	0	0	0	0	0	0	0	SRGAP2
ENST00000605610.5	2	0	0	0	0	0	0	0	0	0	0	0	0	SRGAP2
ENST00000624873.3	2	0	0	0	0	0	0	0	0	0	0	0	0	SRGAP2
ENST00000639602.1	0	0	0	0	0	0	0	0	0	0	0	0	0	KCNH1
ENST00000638983.1	0	0	0	0	0	0	0	0	0	0	0	0	0	KCNH1
ENST00000661331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00467
ENST00000423222.6	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00467
ENST00000670353.1	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00467
ENST00000667464.1	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00467
ENST00000659698.1	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00467
ENST00000654903.1	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00467
ENST00000366933.5	0	0	0	0	1	0	0	1	0	0	0	0	0	SPATA17
ENST00000366917.6	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK1
ENST00000402574.5	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK1
ENST00000611084.4	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK1
ENST00000366918.8	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK1
ENST00000677505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK1
ENST00000678435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK1
ENST00000651706.1	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000286231
ENST00000675850.1	1	0	0	0	0	0	0	0	0	0	0	0	0	DISP1
ENST00000675961.1	1	0	0	0	0	0	0	0	0	0	0	0	0	DISP1
ENST00000445597.6	0	0	0	0	0	0	0	0	0	0	0	0	0	DNAH14
ENST00000430092.5	0	0	0	0	0	0	0	0	0	0	0	0	0	DNAH14
ENST00000682510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	DNAH14
ENST00000439375.6	0	0	0	0	0	0	0	0	0	0	0	0	0	DNAH14
ENST00000389793.7	6	0	0	0	0	0	0	0	0	0	0	0	0	LYST
ENST00000366592.8	5	0	0	0	0	0	0	0	1	0	0	0	0	GPR137B
ENST00000676153.1	0	0	0	0	0	0	0	0	0	0	0	0	0	CHRM3
ENST00000675184.1	0	0	0	0	0	0	0	0	0	0	0	0	0	CHRM3
ENST00000615928.5	0	0	0	0	0	0	0	0	0	0	0	0	0	CHRM3
ENST00000676433.1	0	0	0	0	0	0	0	0	0	0	0	0	0	CHRM3
ENST00000255380.8	0	0	0	0	0	0	0	0	0	0	0	0	0	CHRM3
ENST00000366558.7	1	0	1	0	1	2	1	3	4	0	2	3	0	KMO
ENST00000366559.9	1	0	1	0	1	2	1	3	4	0	2	3	0	KMO
ENST00000366557.8	1	0	1	0	1	2	1	3	4	0	2	3	0	KMO
ENST00000366534.9	0	0	0	0	0	0	0	0	0	0	0	0	0	CATSPERE
ENST00000366531.7	0	0	0	0	0	0	0	0	0	0	0	0	0	CATSPERE
ENST00000366533.8	0	0	0	0	0	0	0	0	0	0	0	0	0	CATSPERE
ENST00000371058.1	0	0	0	0	0	0	0	0	0	0	0	1	0	LEPR
ENST00000456315.7	0	0	0	0	0	0	0	0	0	0	0	0	0	DEPDC1
ENST00000370966.9	0	0	0	0	0	0	0	0	0	0	0	0	0	DEPDC1
ENST00000648424.1	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSG00000293044
ENST00000370673.7	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMD13
ENST00000370671.7	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMD13
ENST00000394834.8	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMD13
ENST00000370669.5	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMD13
ENST00000370668.7	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMD13
ENST00000370670.2	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMD13
ENST00000355485.7	3	0	0	0	0	0	0	0	0	0	0	0	0	VANGL1
ENST00000369510.8	3	0	0	0	0	0	0	0	0	0	0	0	0	VANGL1
ENST00000310260.7	3	0	0	0	0	0	0	0	0	0	0	0	0	VANGL1
ENST00000369426.9	20	0	0	0	0	0	0	0	0	0	0	0	0	WARS2
ENST00000235521.5	20	0	0	0	0	0	0	0	0	0	0	0	0	WARS2
ENST00000368141.5	10	0	0	0	0	0	0	1	0	0	0	2	0	MNDA
ENST00000368059.7	3	0	0	0	0	0	0	1	0	0	0	0	0	SLAMF6
ENST00000368057.8	3	0	0	0	0	0	0	1	0	0	0	0	0	SLAMF6
ENST00000636624.1	1	0	0	0	0	0	0	1	0	0	0	0	0	ENSG00000293102
ENST00000367805.7	1	0	0	1	1	0	1	2	0	1	0	0	2	CCDC181
ENST00000367806.8	1	0	0	1	1	0	1	2	0	1	0	0	2	CCDC181
ENST00000545005.5	1	0	0	1	1	0	1	2	0	1	0	0	2	CCDC181
ENST00000367723.8	30	4	2	9	13	6	4	11	2	4	7	3	2	SUCO
ENST00000616058.4	30	4	2	9	13	6	4	11	2	4	7	3	2	SUCO
ENST00000263688.4	30	4	2	9	13	6	4	11	2	4	7	3	2	SUCO
ENST00000610051.5	30	4	2	9	13	6	4	11	2	4	7	3	2	SUCO
ENST00000695777.1	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000695780.1	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000695782.1	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000367042.6	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000322875.8	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000322918.9	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000354848.5	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000357714.5	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000358170.6	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000367041.5	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000367047.5	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000360212.6	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000480003.5	7	0	0	0	0	0	0	0	0	0	1	2	0	CD46
ENST00000261455.9	80	24	51	45	54	31	61	28	55	52	68	43	79	PACC1
ENST00000535273.2	80	24	51	45	54	31	61	28	55	52	68	43	79	PACC1
ENST00000697181.1	6	0	0	0	0	0	0	0	0	0	0	0	0	LYST
ENST00000697182.1	6	0	0	0	0	0	0	0	0	0	0	0	0	LYST
ENST00000697183.1	6	0	0	0	0	0	0	0	0	0	0	0	0	LYST
ENST00000697184.1	6	0	0	0	0	0	0	0	0	0	0	0	0	LYST
ENST00000468107.5	6	0	0	0	0	0	0	0	0	0	0	0	0	LYST
ENST00000468626.2	6	0	0	0	0	0	0	0	0	0	0	0	0	LYST
ENST00000392783.7	2	0	0	0	0	0	0	0	0	0	0	0	0	BAZ2B
ENST00000392782.5	2	0	0	0	0	0	0	0	0	0	0	0	0	BAZ2B
ENST00000427619.6	0	2	0	0	2	0	1	0	1	0	0	0	0	ENSG00000235726
ENST00000650875.1	0	2	0	0	2	0	1	0	1	0	0	0	0	ENSG00000235726
ENST00000389975.7	0	0	0	0	0	0	0	0	0	0	0	0	0	VIT
ENST00000379242.8	0	0	0	0	0	0	0	0	0	0	0	0	0	VIT
ENST00000497382.5	0	0	0	0	0	0	0	0	0	0	0	0	0	VIT
ENST00000404084.5	0	0	0	0	0	0	0	0	0	0	0	0	0	VIT
ENST00000379241.7	0	0	0	0	0	0	0	0	0	0	0	0	0	VIT
ENST00000401530.5	0	0	0	0	0	0	0	0	0	0	0	0	0	VIT
ENST00000705222.1	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC01819
ENST00000405015.7	0	0	0	0	0	0	0	0	0	0	0	0	0	EHBP1
ENST00000431489.6	0	0	0	0	0	0	0	0	0	0	0	0	0	EHBP1
ENST00000263991.9	0	0	0	0	0	0	0	0	0	0	0	0	0	EHBP1
ENST00000405289.5	0	0	0	0	0	0	0	0	0	0	0	0	0	EHBP1
ENST00000409558.8	6	0	0	0	0	0	0	0	0	0	0	0	0	VPS54
ENST00000272322.9	6	0	0	0	0	0	0	0	0	0	0	0	0	VPS54
ENST00000354504.7	6	0	0	0	0	0	0	0	0	0	0	0	0	VPS54
ENST00000272427.11	2	0	0	0	0	0	0	0	2	1	1	0	0	EXOC6B
ENST00000634650.1	2	0	0	0	0	0	0	0	2	1	1	0	0	EXOC6B
ENST00000466387.5	0	0	0	0	0	0	0	0	0	0	0	0	0	CTNNA2
ENST00000496558.5	0	0	0	0	0	0	0	0	0	0	0	0	0	CTNNA2
ENST00000402739.9	0	0	0	0	0	0	0	0	0	0	0	0	0	CTNNA2
ENST00000629316.2	0	0	0	0	0	0	0	0	0	0	0	0	0	CTNNA2
ENST00000409261.6	0	0	0	0	0	0	0	0	0	0	0	0	0	NCKAP5
ENST00000401392.5	0	0	0	0	0	0	0	0	0	0	1	0	1	ZRANB3
ENST00000264159.11	0	0	0	0	0	0	0	0	0	0	1	0	1	ZRANB3
ENST00000536680.5	0	0	0	0	0	0	0	0	0	0	1	0	1	ZRANB3
ENST00000295095.11	205	0	0	0	0	0	0	0	0	0	0	0	0	ARHGAP15
ENST00000655697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	MMADHC-DT
ENST00000638047.1	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC01876
ENST00000259056.5	0	0	0	0	0	0	0	0	0	0	0	0	0	GALNT5
ENST00000435564.6	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE1A
ENST00000482782.6	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE1A
ENST00000282272.15	34	0	0	0	0	0	0	0	0	0	0	0	0	ANKRD44
ENST00000647377.1	34	0	0	0	0	0	0	0	0	0	0	0	0	ANKRD44
ENST00000328737.6	34	0	0	0	0	0	0	0	0	0	0	0	0	ANKRD44
ENST00000406610.7	0	0	0	0	0	0	0	0	0	0	0	0	0	PARD3B
ENST00000349953.7	0	0	0	0	0	0	0	0	0	0	0	0	0	PARD3B
ENST00000351153.5	0	0	0	0	0	0	0	0	0	0	0	0	0	PARD3B
ENST00000358768.6	0	0	0	0	0	0	0	0	0	0	0	0	0	PARD3B
ENST00000263268.11	0	0	0	0	1	0	0	0	0	0	0	0	0	MREG
ENST00000695932.1	0	0	0	0	0	0	0	0	0	0	0	0	0	TESHL
ENST00000695934.1	0	0	0	0	0	0	0	0	0	0	0	0	0	TESHL
ENST00000398659.8	3	0	0	0	0	0	0	0	0	0	0	0	0	EIPR1
ENST00000382125.9	3	0	0	0	0	0	0	0	0	0	0	0	0	EIPR1
ENST00000443925.6	3	0	0	0	0	0	0	0	0	0	0	0	0	EIPR1
ENST00000281513.10	7	0	0	0	0	0	0	0	0	0	0	0	0	NBAS
ENST00000650025.1	4	0	0	0	0	0	0	0	0	0	0	0	0	LINC01376
ENST00000418165.5	4	0	0	0	0	0	0	0	0	0	0	0	0	LINC01376
ENST00000348332.8	52	0	0	0	2	0	1	0	1	0	0	0	0	NCOA1
ENST00000406961.5	52	0	0	0	2	0	1	0	1	0	0	0	0	NCOA1
ENST00000405141.5	52	0	0	0	2	0	1	0	1	0	0	0	0	NCOA1
ENST00000315285.9	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000713716.1	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000646571.1	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000621856.2	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000642455.1	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000645671.2	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000644408.2	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000642281.2	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000647133.2	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000642751.2	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
ENST00000642999.1	1	0	0	0	0	0	0	0	0	0	0	0	0	SPAST
