name	index_SRX	outlier	mean_ER_index	delta	gene
ENST00000424296.7	2.724089980338067	False	3.4822764007416867	0.7581864204036197	AK9
ENST00000368948.6	1.6214821311536112	False	1.900453345690607	0.2789712145369958	AK9
ENST00000689018.1	0.6191113591677425	True	1.3041390140289777	0.6850276548612352	GTF2H5
ENST00000402384.8	0.0	True	0.4186398851675177	0.4186398851675177	ICA1
ENST00000406470.6	0.0	True	0.4186398851675177	0.4186398851675177	ICA1
ENST00000650486.1	0.0	True	0.43821655223640354	0.43821655223640354	ICA1
ENST00000265577.11	0.0	True	0.4186398851675177	0.4186398851675177	ICA1
ENST00000396675.7	0.0	True	0.4186398851675177	0.4186398851675177	ICA1
ENST00000455539.5	0.0	True	0.42820270399096216	0.42820270399096216	ICA1
ENST00000339809.10	0.0	True	0.41719820415725795	0.41719820415725795	ICA1
ENST00000401396.5	0.0	True	0.39569705072046557	0.39569705072046557	ICA1
ENST00000486677.1	0.0	True	0.3066868009612448	0.3066868009612448	ICA1
ENST00000407906.5	0.0	True	0.5249508396966767	0.5249508396966767	ICA1
ENST00000317367.9	0.0	True	0.4341622628239862	0.4341622628239862	ICA1
ENST00000447326.5	0.0	True	0.46450124733755505	0.46450124733755505	ICA1
ENST00000430867.5	0.0	True	0.47636039520768425	0.47636039520768425	ICA1
ENST00000457755.5	0.0	True	0.5889991130910621	0.5889991130910621	ICA1
ENST00000446305.1	0.0	True	0.45619274085003336	0.45619274085003336	ICA1
ENST00000406451.8	0.0	True	1.4106402671067395	1.4106402671067395	HDAC9
ENST00000441542.7	0.0	True	1.4106402671067395	1.4106402671067395	HDAC9
ENST00000686413.1	0.0	True	1.4106402671067395	1.4106402671067395	HDAC9
ENST00000401921.5	0.0	True	1.3348487012420462	1.3348487012420462	HDAC9
ENST00000490851.5	0.0	True	1.0162184106025198	1.0162184106025198	HDAC9
ENST00000496026.1	0.0	True	0.9620815778420246	0.9620815778420246	HDAC9
ENST00000394654.4	0.0	False	0.1365558388455115	0.1365558388455115	RUNDC3B
ENST00000338056.7	0.0	False	0.1365558388455115	0.1365558388455115	RUNDC3B
ENST00000493037.5	0.0	False	0.1365558388455115	0.1365558388455115	RUNDC3B
ENST00000814507.1	0.0	False	0.37895782932346594	0.37895782932346594	PARAIL
ENST00000814506.1	0.0	False	0.37895782932346594	0.37895782932346594	PARAIL
ENST00000814503.1	0.0	False	0.1263192764411553	0.1263192764411553	PARAIL
ENST00000814478.1	0.0	False	0.10827366552099026	0.10827366552099026	PARAIL
ENST00000814505.1	0.0	False	0.37895782932346594	0.37895782932346594	PARAIL
ENST00000814473.1	0.0	False	0.18947891466173294	0.18947891466173294	PARAIL
ENST00000814493.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814495.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814499.1	0.0	False	0.37895782932346594	0.37895782932346594	PARAIL
ENST00000814501.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814490.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814484.1	0.0	False	0.1263192764411553	0.1263192764411553	PARAIL
ENST00000814488.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000701802.2	0.0	False	0.37895782932346594	0.37895782932346594	PARAIL
ENST00000814487.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000524190.3	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814483.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814485.1	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814486.1	0.0	False	0.18947891466173294	0.18947891466173294	PARAIL
ENST00000691446.2	0.0	False	0.25263855288231063	0.25263855288231063	PARAIL
ENST00000814482.1	0.0	False	0.15158313172938634	0.15158313172938634	PARAIL
ENST00000519655.6	0.0	False	0.1263192764411553	0.1263192764411553	PARAIL
ENST00000717342.1	59.43469048010328	False	inf	inf	FRG1HP
ENST00000262455.7	0.3854844311799151	False	2.176188915735942	1.790704484556027	ERP44
ENST00000685319.1	0.3818817729445888	False	2.1547089199720886	1.7728271470274999	ERP44
ENST00000690739.1	0.3818817729445888	False	2.1547089199720886	1.7728271470274999	ERP44
ENST00000687093.1	0.3818817729445888	False	2.1547089199720886	1.7728271470274999	ERP44
ENST00000687025.1	0.3818817729445888	False	2.1547089199720886	1.7728271470274999	ERP44
ENST00000691188.1	0.3818817729445888	False	2.1547089199720886	1.7728271470274999	ERP44
ENST00000686275.1	0.3783458306025093	False	2.1129972806686608	1.7346514500661514	ERP44
ENST00000691823.1	0.3783458306025093	False	2.1129972806686608	1.7346514500661514	ERP44
ENST00000690317.1	0.3783458306025093	False	2.1129972806686608	1.7346514500661514	ERP44
ENST00000687017.1	0.3783458306025093	False	2.1129972806686608	1.7346514500661514	ERP44
ENST00000689406.1	0.3783458306025093	False	2.1129972806686608	1.7346514500661514	ERP44
ENST00000684842.1	0.1502255503862904	False	0.6929425885645029	0.5427170381782125	ERP44
ENST00000609205.5	0.0	False	0.273111677691023	0.273111677691023	MSN
ENST00000421483.6	0.0	False	0.10827366552099026	0.10827366552099026	RAP2C-AS1
ENST00000441399.3	0.0	False	0.15158313172938634	0.15158313172938634	RAP2C-AS1
ENST00000528056.5	0.2838173421802684	False	0.4155470493977621	0.13172970721749372	PRKY
ENST00000533551.5	0.2424159640503252	False	0.5366828984954661	0.29426693444514096	PRKY
ENST00000836333.1	0.2819167796210255	False	0.4370445883234255	0.1551278087024	PRKY
ENST00000836334.1	1.7301194146605408	False	5.049290530057332	3.3191711153967915	PRKY
ENST00000836332.1	0.3173334604779383	False	0.4370445883234255	0.11971112784548721	PRKY
ENST00000472666.1	0.1882246159019664	False	0.5571662743222928	0.36894165842032645	PRKY
ENST00000528582.5	0.0	False	inf	inf	GAS2
ENST00000530562.5	0.0386944599479839	True	0.1712247445608095	0.1325302846128256	XRRA1
ENST00000340360.10	0.0225131403333724	True	0.1507120898240193	0.1281989494906469	XRRA1
ENST00000705661.1	0.0225131403333724	True	0.1507120898240193	0.1281989494906469	XRRA1
ENST00000684022.1	0.0257963066319892	True	0.1507120898240193	0.12491578319203009	XRRA1
ENST00000321448.12	0.0242788768301075	True	0.13468516102461345	0.11040628419450595	XRRA1
ENST00000531849.5	0.022930050339546	True	0.13118372925934396	0.10825367891979797	XRRA1
ENST00000531449.5	0.0353777919524424	True	0.1507120898240193	0.1153342978715769	XRRA1
ENST00000527087.5	0.0353777919524424	True	0.14657403410142805	0.11119624214898566	XRRA1
ENST00000529926.1	0.0538357703624123	True	0.3891943917278221	0.33535862136540984	XRRA1
ENST00000528819.1	0.0476239507052109	False	inf	inf	XRRA1
ENST00000530617.5	0.9568084641683292	False	1.5671783152363101	0.6103698510679809	PAK1
ENST00000375735.7	0.0	False	0.239135583332828	0.239135583332828	DYNC2H1
ENST00000650373.2	0.0	False	0.239135583332828	0.239135583332828	DYNC2H1
ENST00000334267.11	0.0	False	0.19991627673467846	0.19991627673467846	DYNC2H1
ENST00000528670.5	0.0	False	0.22597472215015424	0.22597472215015424	DYNC2H1
ENST00000533197.1	0.0	False	0.19360031291262064	0.19360031291262064	DYNC2H1
ENST00000525729.5	0.058962986587404	False	0.7579156586469316	0.6989526720595276	C11orf65
ENST00000324472.9	0.0	True	0.18499169165660473	0.18499169165660473	DPY19L2
ENST00000541911.1	0.0	True	0.1393325124209056	0.1393325124209056	DPY19L2
ENST00000413230.6	0.0	True	0.15611852989146463	0.15611852989146463	DPY19L2
ENST00000439061.6	0.0	True	0.1350311323497942	0.1350311323497942	DPY19L2
ENST00000547750.2	0.0	False	inf	inf	NOPCHAP1
ENST00000458118.5	0.0	False	inf	inf	TPTE2P5
ENST00000465365.6	63.0541107336993	False	inf	inf	LPAR6
ENST00000470937.1	58.55024568129222	False	68.96827473324794	10.41802905195572	LPAR6
ENST00000529080.5	0.0	False	0.18947891466173294	0.18947891466173294	NEK5
ENST00000684899.1	0.0	False	0.18947891466173294	0.18947891466173294	NEK5
ENST00000647945.2	0.0	False	0.18947891466173294	0.18947891466173294	NEK5
ENST00000652502.1	0.0	False	0.18947891466173294	0.18947891466173294	NEK5
ENST00000465811.7	0.0	False	0.1263192764411553	0.1263192764411553	NEK5
ENST00000678006.1	0.3537779195244243	True	0.5133278084998218	0.15954988897539757	SCFD1
ENST00000560421.5	0.0	False	0.5052771057646211	0.5052771057646211	DMXL2
ENST00000558507.1	0.0	False	1.5158313172938633	1.5158313172938633	DMXL2
ENST00000394412.8	0.0	True	0.29410214879517305	0.29410214879517305	KIF7
ENST00000696512.1	0.0	True	0.29410214879517305	0.29410214879517305	KIF7
ENST00000677187.1	0.0	True	0.2910675745986061	0.2910675745986061	KIF7
ENST00000558879.5	0.0	True	0.1449869498584895	0.1449869498584895	LRRC28
ENST00000301981.8	0.0	True	0.7066918425526936	0.7066918425526936	LRRC28
ENST00000447360.6	0.0	True	0.16793991364868494	0.16793991364868494	LRRC28
ENST00000561276.5	0.0	True	0.18827418553309275	0.18827418553309275	LRRC28
ENST00000331450.9	0.0	True	0.16793991364868494	0.16793991364868494	LRRC28
ENST00000559819.5	0.0	True	0.609963081534104	0.609963081534104	LRRC28
ENST00000560236.1	0.0	True	0.2536066316037942	0.2536066316037942	LRRC28
ENST00000561431.1	0.0	True	0.16793991364868494	0.16793991364868494	LRRC28
ENST00000766096.1	0.0	False	0.25263855288231063	0.25263855288231063	LINC01572
ENST00000624829.4	0.0	False	0.37895782932346594	0.37895782932346594	LINC01572
ENST00000766023.1	0.0	False	0.37895782932346594	0.37895782932346594	LINC01572
ENST00000406892.6	0.0651696167544992	False	0.3472441437674509	0.28207452701295166	ZNF433-AS1
ENST00000590341.5	0.0	False	0.20483375826826725	0.20483375826826725	SLC7A9
ENST00000023064.9	0.0	False	0.20483375826826725	0.20483375826826725	SLC7A9
ENST00000590465.5	0.0	False	0.20483375826826725	0.20483375826826725	SLC7A9
ENST00000592232.5	0.0	False	0.1638670066146138	0.1638670066146138	SLC7A9
ENST00000587772.1	0.0	False	0.1638670066146138	0.1638670066146138	SLC7A9
ENST00000217246.8	0.0	False	0.15158313172938634	0.15158313172938634	MACROD2
ENST00000684519.1	0.0	False	0.15158313172938634	0.15158313172938634	MACROD2
ENST00000642719.1	0.0	False	0.15158313172938634	0.15158313172938634	MACROD2
ENST00000471540.5	0.1125657016668622	True	0.28780179627967806	0.17523609461281586	POFUT2
ENST00000334538.13	0.1125657016668622	True	0.28780179627967806	0.17523609461281586	POFUT2
ENST00000615172.4	0.1114400446501936	True	0.28195469660913963	0.17051465195894605	POFUT2
